time,bnds,lat,plev,time_bnds,aps,tm1,O3
2019-07-01 08:00:00,0,85.09653,10608.0,2018-02-14 00:24:00,102134.2,217.63248,1.1493287e-06
2019-07-01 08:00:00,0,85.09653,11620.7,2018-02-14 00:24:00,102134.2,217.669,9.765319e-07
2019-07-01 08:00:00,0,85.09653,12742.8,2018-02-14 00:24:00,102134.2,217.50838,8.376921e-07
2019-07-01 08:00:00,0,85.09653,13987.3,2018-02-14 00:24:00,102134.2,216.79053,7.228181e-07
2019-07-01 08:00:00,0,85.09653,15366.5,2018-02-14 00:24:00,102134.2,214.95818,6.189896e-07
2019-07-01 08:00:00,0,85.09653,16892.3,2018-02-14 00:24:00,102134.2,212.501,5.10415e-07
2019-07-01 08:00:00,0,85.09653,18576.8,2018-02-14 00:24:00,102134.2,210.49258,3.9572194e-07
2019-07-01 08:00:00,0,85.09653,20436.8,2018-02-14 00:24:00,102134.2,209.85667,2.905671e-07
2019-07-01 08:00:00,0,85.09653,22489.8,2018-02-14 00:24:00,102134.2,210.36002,2.0986913e-07
2019-07-01 08:00:00,0,85.09653,24754.8,2018-02-14 00:24:00,102134.2,211.83682,1.5471622e-07
2019-07-01 08:00:00,0,85.09653,27251.3,2018-02-14 00:24:00,102134.2,214.06741,1.192999e-07
2019-07-01 08:00:00,0,85.09653,30000.3,2018-02-14 00:24:00,102134.2,217.05045,9.6097686e-08
2019-07-01 08:00:00,0,85.09653,33029.9,2018-02-14 00:24:00,102134.2,220.535,8.123549e-08
2019-07-01 08:00:00,0,85.09653,36370.4,2018-02-14 00:24:00,102134.2,224.58667,7.1342114e-08
2019-07-01 08:00:00,0,85.09653,40053.1,2018-02-14 00:24:00,102134.2,228.89902,6.746353e-08
2019-07-01 08:00:00,0,85.09653,44112.7,2018-02-14 00:24:00,102134.2,233.52374,6.397428e-08
2019-07-01 08:00:00,0,85.09653,48581.4,2018-02-14 00:24:00,102134.2,238.19598,6.140567e-08
2019-07-01 08:00:00,0,85.09653,53499.8,2018-02-14 00:24:00,102134.2,242.93958,5.908088e-08
2019-07-01 08:00:00,0,85.09653,58909.1,2018-02-14 00:24:00,102134.2,247.47563,5.6939268e-08
2019-07-01 08:00:00,0,85.09653,64849.2,2018-02-14 00:24:00,102134.2,251.81676,5.4786646e-08
2019-07-01 08:00:00,0,85.09653,71372.6,2018-02-14 00:24:00,102134.2,255.7857,5.2560083e-08
2019-07-01 08:00:00,0,85.09653,78444.2,2018-02-14 00:24:00,102134.2,259.2375,5.0159215e-08
2019-07-01 08:00:00,0,85.09653,85715.1,2018-02-14 00:24:00,102134.2,261.81964,4.737781e-08
2019-07-01 08:00:00,0,85.09653,92108.5,2018-02-14 00:24:00,102134.2,262.7467,4.4055696e-08
2019-07-01 08:00:00,0,85.09653,96738.1,2018-02-14 00:24:00,102134.2,261.43988,3.9687365e-08
2019-07-01 08:00:00,0,85.09653,99565.4,2018-02-14 00:24:00,102134.2,260.0302,3.4409506e-08
2019-07-01 08:00:00,0,85.09653,100934.0,2018-02-14 00:24:00,102134.2,259.43506,3.1762568e-08
2019-07-01 08:00:00,0,82.31291,0.99,2018-02-14 00:24:00,100838.66,181.87857,4.4661482e-07
2019-07-01 08:00:00,0,82.31291,3.18,2018-02-14 00:24:00,100838.66,195.05215,5.8221735e-07
2019-07-01 08:00:00,0,82.31291,5.81,2018-02-14 00:24:00,100838.66,213.03842,6.684764e-07
2019-07-01 08:00:00,0,82.31291,8.96,2018-02-14 00:24:00,100838.66,222.35374,7.6098155e-07
2019-07-01 08:00:00,0,82.31291,12.74,2018-02-14 00:24:00,100838.66,231.80957,8.205438e-07
2019-07-01 08:00:00,0,82.31291,17.17,2018-02-14 00:24:00,100838.66,239.09845,8.914674e-07
